time,deviceid,temperature,humidity,windspeed,uvindex
2022-03-21 03:45:00,weather-pro-1,-7,74,9,0
2022-03-21 03:50:00,weather-pro-1,-7,74,6,0
2022-03-21 03:55:00,weather-pro-1,-7,73,7,0
2022-03-21 04:00:00,weather-pro-1,-7,80,7,0
2022-03-21 04:05:00,weather-pro-1,-7,84,6,0
2022-03-21 04:10:00,weather-pro-1,-7,85,8,0
2022-03-21 04:15:00,weather-pro-1,-6,83,7,0
2022-03-21 04:20:00,weather-pro-1,-7,88,9,0
2022-03-21 04:25:00,weather-pro-1,-7,84,9,0
2022-03-21 04:30:00,weather-pro-1,-6,80,7,0
2022-03-21 04:35:00,weather-pro-1,-8,76,7,0
2022-03-21 04:40:00,weather-pro-1,-7,79,8,0
2022-03-21 04:45:00,weather-pro-1,-8,78,9,0
2022-03-21 04:50:00,weather-pro-1,-8,84,6,0
2022-03-21 04:55:00,weather-pro-1,-8,83,7,0
2022-03-21 05:00:00,weather-pro-1,-7,90,7,0
2022-03-21 05:05:00,weather-pro-1,-8,88,6,0
2022-03-21 05:10:00,weather-pro-1,-7,89,8,0
2022-03-21 05:15:00,weather-pro-1,-6,91,7,0
2022-03-21 05:20:00,weather-pro-1,-8,92,9,0
2022-03-21 05:25:00,weather-pro-1,-8,90,9,0
2022-03-21 05:30:00,weather-pro-1,-7,94,7,0
2022-03-21 05:35:00,weather-pro-1,-8,89,7,0
2022-03-21 05:40:00,weather-pro-1,-7,93,8,0
2022-03-21 05:45:00,weather-pro-1,-8,91,9,0
2022-03-21 05:50:00,weather-pro-1,-8,92,6,0
2022-03-21 05:55:00,weather-pro-1,-8,91,7,0
2022-03-21 06:00:00,weather-pro-1,-7,80,7,0
2022-03-21 06:05:00,weather-pro-1,-7,82,6,0
2022-03-21 06:10:00,weather-pro-1,-7,80,8,0
2022-03-21 06:15:00,weather-pro-1,-7,79,7,0
2022-03-21 06:20:00,weather-pro-1,-7,78,9,0
2022-03-21 06:25:00,weather-pro-1,-6,78,9,0
2022-03-21 06:30:00,weather-pro-1,-6,78,9,0
2022-03-21 06:35:00,weather-pro-1,-6,79,9,0
2022-03-21 06:40:00,weather-pro-1,-6,80,8,0
2022-03-21 06:45:00,weather-pro-1,-6,79,9,0
2022-03-21 06:50:00,weather-pro-1,-5,78,6,0
2022-03-21 06:55:00,weather-pro-1,-5,78,7,0
2022-03-21 07:00:00,weather-pro-1,-5,75,10,0
2022-03-21 07:05:00,weather-pro-1,-4,74,9,0
2022-03-21 07:10:00,weather-pro-1,-4,73,8,0
2022-03-21 07:15:00,weather-pro-1,-4,73,10,0
2022-03-21 07:20:00,weather-pro-1,-4,72,9,0
2022-03-21 07:25:00,weather-pro-1,-3,70,9,0
2022-03-21 07:30:00,weather-pro-1,-4,68,10,0
2022-03-21 07:35:00,weather-pro-1,-3,69,9,1
2022-03-21 07:40:00,weather-pro-1,-3,67,11,1
2022-03-21 07:45:00,weather-pro-1,-3,65,10,1
2022-03-21 07:50:00,weather-pro-1,-3,64,11,1
2022-03-21 07:55:00,weather-pro-1,-3,64,11,1
2022-03-21 08:00:00,weather-pro-1,-2,60,10,1
2022-03-21 08:05:00,weather-pro-1,-2,59,12,1
2022-03-21 08:10:00,weather-pro-1,-1,58,13,1
2022-03-21 08:15:00,weather-pro-1,-1,57,14,1
2022-03-21 08:20:00,weather-pro-1,-1,56,15,1
2022-03-21 08:25:00,weather-pro-1,0,55,15,2
2022-03-21 08:30:00,weather-pro-1,0,56,13,2
2022-03-21 08:35:00,weather-pro-1,0,58,15,2
2022-03-21 08:40:00,weather-pro-1,0,55,16,2
2022-03-21 08:45:00,weather-pro-1,0,52,16,2
2022-03-21 08:50:00,weather-pro-1,0,52,15,2
2022-03-21 08:55:00,weather-pro-1,0,52,15,2
2022-03-21 09:00:00,weather-pro-1,0,50,15,2
2022-03-21 09:05:00,weather-pro-1,0,50,15,2
2022-03-21 09:10:00,weather-pro-1,1,49,16,2
2022-03-21 09:15:00,weather-pro-1,1,48,16,2
2022-03-21 09:20:00,weather-pro-1,1,47,16,2
2022-03-21 09:25:00,weather-pro-1,2,45,17,2
2022-03-21 09:30:00,weather-pro-1,2,45,17,2
2022-03-21 09:35:00,weather-pro-1,2,46,17,2
2022-03-21 09:40:00,weather-pro-1,2,45,17,2
2022-03-21 09:45:00,weather-pro-1,2,46,18,2
2022-03-21 09:50:00,weather-pro-1,3,44,18,3
2022-03-21 09:55:00,weather-pro-1,3,43,18,3
2022-03-21 10:00:00,weather-pro-1,3,42,16,3
2022-03-21 10:05:00,weather-pro-1,3,41,16,3
2022-03-21 10:10:00,weather-pro-1,3,41,18,3
2022-03-21 10:15:00,weather-pro-1,3,41,18,3
2022-03-21 10:20:00,weather-pro-1,3,40,18,3
2022-03-21 10:25:00,weather-pro-1,4,40,19,3
2022-03-21 10:30:00,weather-pro-1,4,40,19,3
2022-03-21 10:35:00,weather-pro-1,4,40,19,3
2022-03-21 10:40:00,weather-pro-1,4,40,19,4
2022-03-21 10:45:00,weather-pro-1,5,40,20,4
2022-03-21 10:50:00,weather-pro-1,5,39,20,4
2022-03-21 10:55:00,weather-pro-1,5,39,20,4
2022-03-21 11:00:00,weather-pro-1,5,38,21,4
2022-03-21 11:05:00,weather-pro-1,5,37,21,4
2022-03-21 11:10:00,weather-pro-1,5,36,21,4
2022-03-21 11:15:00,weather-pro-1,4,38,22,4
2022-03-21 11:20:00,weather-pro-1,5,35,22,4
2022-03-21 11:25:00,weather-pro-1,5,34,23,4
2022-03-21 11:30:00,weather-pro-1,5,33,25,4
2022-03-21 11:35:00,weather-pro-1,5,35,26,4
2022-03-21 11:40:00,weather-pro-1,6,36,26,4
2022-03-21 11:45:00,weather-pro-1,5,37,26,4
2022-03-21 11:50:00,weather-pro-1,6,36,27,4
2022-03-21 11:55:00,weather-pro-1,6,36,26,4
2022-03-21 12:00:00,weather-pro-1,6,35,25,4
2022-03-21 12:05:00,weather-pro-1,6,35,27,4
2022-03-21 12:10:00,weather-pro-1,6,35,25,4
2022-03-21 12:15:00,weather-pro-1,6,36,26,4
2022-03-21 12:20:00,weather-pro-1,6,36,28,4
2022-03-21 12:25:00,weather-pro-1,6,34,28,4
2022-03-21 12:30:00,weather-pro-1,6,33,29,4
2022-03-21 12:35:00,weather-pro-1,6,35,27,4
2022-03-21 12:40:00,weather-pro-1,6,36,27,4
2022-03-21 12:45:00,weather-pro-1,5,34,29,4
2022-03-21 12:50:00,weather-pro-1,7,33,30,4
2022-03-21 12:55:00,weather-pro-1,7,34,30,4
2022-03-21 13:00:00,weather-pro-1,7,35,29,4
2022-03-21 13:05:00,weather-pro-1,6,35,29,4
2022-03-21 13:10:00,weather-pro-1,7,35,28,4
2022-03-21 13:15:00,weather-pro-1,7,36,30,4
2022-03-21 13:20:00,weather-pro-1,7,36,30,4
2022-03-21 13:25:00,weather-pro-1,7,34,31,4
2022-03-21 13:30:00,weather-pro-1,7,33,31,4
2022-03-21 13:35:00,weather-pro-1,6,35,32,4
2022-03-21 13:40:00,weather-pro-1,7,36,32,4
2022-03-21 13:45:00,weather-pro-1,6,34,32,4
2022-03-21 13:50:00,weather-pro-1,6,33,32,4
2022-03-21 13:55:00,weather-pro-1,6,34,32,4
2022-03-21 14:00:00,weather-pro-1,6,35,29,4
2022-03-21 14:05:00,weather-pro-1,6,35,28,4
2022-03-21 14:10:00,weather-pro-1,6,35,27,3
2022-03-21 14:15:00,weather-pro-1,6,34,26,3
2022-03-21 14:20:00,weather-pro-1,6,35,25,3
2022-03-21 14:25:00,weather-pro-1,6,34,25,3
2022-03-21 14:30:00,weather-pro-1,6,34,24,3
2022-03-21 14:35:00,weather-pro-1,5,35,24,3
2022-03-21 14:40:00,weather-pro-1,6,36,23,3
2022-03-21 14:45:00,weather-pro-1,5,35,22,3
2022-03-21 14:50:00,weather-pro-1,5,33,22,3
2022-03-21 14:55:00,weather-pro-1,6,34,22,3
2022-03-21 15:00:00,weather-pro-1,7,32,29,3
2022-03-21 15:05:00,weather-pro-1,7,33,28,3
2022-03-21 15:10:00,weather-pro-1,6,31,27,3
2022-03-21 15:15:00,weather-pro-1,6,30,26,3
2022-03-21 15:20:00,weather-pro-1,7,30,28,3
2022-03-21 15:25:00,weather-pro-1,7,30,29,2
2022-03-21 15:30:00,weather-pro-1,7,29,30,2
2022-03-21 15:35:00,weather-pro-1,7,29,31,2
2022-03-21 15:40:00,weather-pro-1,7,28,30,2
2022-03-21 15:45:00,weather-pro-1,7,28,30,2
2022-03-21 15:50:00,weather-pro-1,7,28,30,2
2022-03-21 15:55:00,weather-pro-1,7,28,30,2
2022-03-21 16:00:00,weather-pro-1,7,32,29,2
2022-03-21 16:05:00,weather-pro-1,7,30,28,2
2022-03-21 16:10:00,weather-pro-1,7,31,27,2
2022-03-21 16:15:00,weather-pro-1,6,30,26,2
2022-03-21 16:20:00,weather-pro-1,6,30,28,2
2022-03-21 16:25:00,weather-pro-1,6,30,29,2
2022-03-21 16:30:00,weather-pro-1,6,29,30,2
2022-03-21 16:35:00,weather-pro-1,6,30,31,2
2022-03-21 16:40:00,weather-pro-1,6,29,28,2
2022-03-21 16:45:00,weather-pro-1,6,28,30,2
2022-03-21 16:50:00,weather-pro-1,6,30,28,2
2022-03-21 16:55:00,weather-pro-1,6,30,28,2
2022-03-21 17:00:00,weather-pro-1,6,32,29,2
2022-03-21 17:05:00,weather-pro-1,6,30,28,2
2022-03-21 17:10:00,weather-pro-1,6,31,27,2
2022-03-21 17:15:00,weather-pro-1,6,30,28,1
2022-03-21 17:20:00,weather-pro-1,6,30,28,1
2022-03-21 17:25:00,weather-pro-1,5,30,29,1
2022-03-21 17:30:00,weather-pro-1,5,29,27,1
2022-03-21 17:35:00,weather-pro-1,5,30,30,1
2022-03-21 17:40:00,weather-pro-1,5,30,28,1
2022-03-21 17:45:00,weather-pro-1,5,32,29,1
2022-03-21 17:50:00,weather-pro-1,5,34,28,1
2022-03-21 17:55:00,weather-pro-1,5,34,28,1
2022-03-21 18:00:00,weather-pro-1,5,34,25,1
2022-03-21 18:05:00,weather-pro-1,5,35,23,1
2022-03-21 18:10:00,weather-pro-1,5,35,23,1
2022-03-21 18:15:00,weather-pro-1,4,35,21,0
2022-03-21 18:20:00,weather-pro-1,4,36,20,0
2022-03-21 18:25:00,weather-pro-1,3,37,18,0
2022-03-21 18:30:00,weather-pro-1,3,37,18,0
2022-03-21 18:35:00,weather-pro-1,3,37,17,0
2022-03-21 18:40:00,weather-pro-1,3,38,16,0
2022-03-21 18:45:00,weather-pro-1,3,39,15,0
2022-03-21 18:50:00,weather-pro-1,3,40,15,0
2022-03-21 18:55:00,weather-pro-1,3,40,15,0
2022-03-21 19:00:00,weather-pro-1,3,40,14,0
2022-03-21 19:05:00,weather-pro-1,3,41,14,0
2022-03-21 19:10:00,weather-pro-1,2,41,14,0
2022-03-21 19:15:00,weather-pro-1,2,41,13,0
2022-03-21 19:20:00,weather-pro-1,2,43,11,0
2022-03-21 19:25:00,weather-pro-1,2,44,11,0
2022-03-21 19:30:00,weather-pro-1,1,45,11,0
2022-03-21 19:35:00,weather-pro-1,1,46,10,0
2022-03-21 19:40:00,weather-pro-1,1,46,10,0
2022-03-21 19:45:00,weather-pro-1,1,46,9,0
2022-03-21 19:50:00,weather-pro-1,1,46,9,0
2022-03-21 19:55:00,weather-pro-1,1,46,8,0
2022-03-21 20:00:00,weather-pro-1,1,47,8,0
2022-03-21 20:05:00,weather-pro-1,1,48,9,0
2022-03-21 20:10:00,weather-pro-1,1,48,9,0
2022-03-21 20:15:00,weather-pro-1,1,48,9,0
2022-03-21 20:20:00,weather-pro-1,0,50,9,0
2022-03-21 20:25:00,weather-pro-1,0,51,9,0
2022-03-21 20:30:00,weather-pro-1,0,53,9,0
2022-03-21 20:35:00,weather-pro-1,0,56,9,0
2022-03-21 20:40:00,weather-pro-1,0,56,8,0
2022-03-21 20:45:00,weather-pro-1,0,56,8,0
2022-03-21 20:50:00,weather-pro-1,0,56,9,0
2022-03-21 20:55:00,weather-pro-1,0,56,8,0
2022-03-21 21:00:00,weather-pro-1,0,58,8,0
2022-03-21 21:05:00,weather-pro-1,0,60,9,0
2022-03-21 21:10:00,weather-pro-1,0,60,9,0
2022-03-21 21:15:00,weather-pro-1,0,60,9,0
2022-03-21 21:20:00,weather-pro-1,-1,62,9,0
2022-03-21 21:25:00,weather-pro-1,-1,62,10,0
2022-03-21 21:30:00,weather-pro-1,-1,64,10,0
2022-03-21 21:35:00,weather-pro-1,-1,62,11,0
2022-03-21 21:40:00,weather-pro-1,-1,62,11,0
2022-03-21 21:45:00,weather-pro-1,-1,62,11,0
2022-03-21 21:50:00,weather-pro-1,-1,62,11,0
2022-03-21 21:55:00,weather-pro-1,-1,62,11,0
2022-03-21 22:00:00,weather-pro-1,-1,60,10,0
2022-03-21 22:05:00,weather-pro-1,-1,62,11,0
2022-03-21 22:10:00,weather-pro-1,-1,62,13,0
2022-03-21 22:15:00,weather-pro-1,-1,64,13,0
2022-03-21 22:20:00,weather-pro-1,-2,64,13,0
2022-03-21 22:25:00,weather-pro-1,-2,64,12,0
2022-03-21 22:30:00,weather-pro-1,-2,65,12,0
2022-03-21 22:35:00,weather-pro-1,-2,65,13,0
2022-03-21 22:40:00,weather-pro-1,-2,65,13,0
2022-03-21 22:45:00,weather-pro-1,-2,65,13,0
2022-03-21 22:50:00,weather-pro-1,-2,64,13,0
2022-03-21 22:55:00,weather-pro-1,-2,65,13,0
2022-03-21 23:00:00,weather-pro-1,-2,65,10,0
2022-03-21 23:05:00,weather-pro-1,-2,65,11,0
2022-03-21 23:10:00,weather-pro-1,-2,66,13,0
2022-03-21 23:15:00,weather-pro-1,-2,66,13,0
2022-03-21 23:20:00,weather-pro-1,-3,66,11,0
2022-03-21 23:25:00,weather-pro-1,-3,67,12,0
2022-03-21 23:30:00,weather-pro-1,-3,67,13,0
2022-03-21 23:35:00,weather-pro-1,-3,67,13,0
2022-03-21 23:40:00,weather-pro-1,-3,67,12,0
2022-03-21 23:45:00,weather-pro-1,-4,67,13,0
2022-03-21 23:50:00,weather-pro-1,-4,67,14,0
2022-03-21 23:55:00,weather-pro-1,-4,67,14,0
2022-03-22 00:00:00,weather-pro-1,-4,65,13,0
2022-03-22 00:05:00,weather-pro-1,-4,66,12,0
2022-03-22 00:10:00,weather-pro-1,-4,67,13,0
2022-03-22 00:15:00,weather-pro-1,-4,67,13,0
2022-03-22 00:20:00,weather-pro-1,-4,67,13,0
2022-03-22 00:25:00,weather-pro-1,-4,68,12,0
2022-03-22 00:30:00,weather-pro-1,-4,68,12,0
2022-03-22 00:35:00,weather-pro-1,-4,68,13,0
2022-03-22 00:40:00,weather-pro-1,-4,68,13,0
2022-03-22 00:45:00,weather-pro-1,-4,68,13,0
2022-03-22 00:50:00,weather-pro-1,-4,68,12,0
2022-03-22 00:55:00,weather-pro-1,-4,68,13,0
2022-03-22 01:00:00,weather-pro-1,-4,67,13,0
2022-03-22 01:05:00,weather-pro-1,-4,66,12,0
2022-03-22 01:10:00,weather-pro-1,-4,67,13,0
2022-03-22 01:15:00,weather-pro-1,-4,68,14,0
2022-03-22 01:20:00,weather-pro-1,-4,68,13,0
2022-03-22 01:25:00,weather-pro-1,-4,69,13,0
2022-03-22 01:30:00,weather-pro-1,-4,70,12,0
2022-03-22 01:35:00,weather-pro-1,-4,70,13,0
2022-03-22 01:40:00,weather-pro-1,-4,70,13,0
2022-03-22 01:45:00,weather-pro-1,-4,70,14,0
2022-03-22 01:50:00,weather-pro-1,-4,71,13,0
2022-03-22 01:55:00,weather-pro-1,-4,72,13,0
2022-03-22 02:00:00,weather-pro-1,-4,70,13,0
2022-03-22 02:05:00,weather-pro-1,-4,72,12,0
2022-03-22 02:10:00,weather-pro-1,-4,73,12,0
2022-03-22 02:15:00,weather-pro-1,-5,75,11,0
2022-03-22 02:20:00,weather-pro-1,-5,74,11,0
2022-03-22 02:25:00,weather-pro-1,-5,74,10,0
2022-03-22 02:30:00,weather-pro-1,-5,72,11,0
2022-03-22 02:35:00,weather-pro-1,-5,73,11,0
2022-03-22 02:40:00,weather-pro-1,-5,73,12,0
2022-03-22 02:45:00,weather-pro-1,-5,74,11,0
2022-03-22 02:50:00,weather-pro-1,-5,74,11,0
2022-03-22 02:55:00,weather-pro-1,-5,75,12,0
2022-03-22 03:00:00,weather-pro-1,-5,74,11,0
2022-03-22 03:05:00,weather-pro-1,-5,73,11,0
2022-03-22 03:10:00,weather-pro-1,-5,75,10,0
2022-03-22 03:15:00,weather-pro-1,-5,75,9,0
2022-03-22 03:20:00,weather-pro-1,-5,76,11,0
2022-03-22 03:25:00,weather-pro-1,-5,77,12,0
2022-03-22 03:30:00,weather-pro-1,-5,77,12,0
2022-03-22 03:35:00,weather-pro-1,-5,77,11,0
2022-03-22 03:40:00,weather-pro-1,-5,77,11,0
2022-03-22 03:45:00,weather-pro-1,-5,77,11,0
2022-03-22 03:50:00,weather-pro-1,-5,77,11,0
2022-03-22 03:55:00,weather-pro-1,-5,77,11,0
2022-03-22 04:00:00,weather-pro-1,-5,80,10,0
2022-03-22 04:05:00,weather-pro-1,-5,79,11,0
2022-03-22 04:10:00,weather-pro-1,-5,80,11,0
2022-03-22 04:15:00,weather-pro-1,-5,80,10,0
2022-03-22 04:20:00,weather-pro-1,-6,81,9,0
2022-03-22 04:25:00,weather-pro-1,-6,82,9,0
2022-03-22 04:30:00,weather-pro-1,-6,80,11,0
2022-03-22 04:35:00,weather-pro-1,-6,79,12,0
2022-03-22 04:40:00,weather-pro-1,-6,79,13,0
2022-03-22 04:45:00,weather-pro-1,-6,80,11,0
2022-03-22 04:50:00,weather-pro-1,-6,80,11,0
2022-03-22 04:55:00,weather-pro-1,-6,81,11,0
2022-03-22 05:00:00,weather-pro-1,-6,82,10,0
2022-03-22 05:05:00,weather-pro-1,-6,82,10,0
2022-03-22 05:10:00,weather-pro-1,-6,82,12,0
2022-03-22 05:15:00,weather-pro-1,-5,81,11,0
2022-03-22 05:20:00,weather-pro-1,-5,81,11,0
2022-03-22 05:25:00,weather-pro-1,-5,80,9,0
2022-03-22 05:30:00,weather-pro-1,-5,80,11,0
2022-03-22 05:35:00,weather-pro-1,-5,80,10,0
2022-03-22 05:40:00,weather-pro-1,-5,82,12,0
2022-03-22 05:45:00,weather-pro-1,-5,82,11,0
2022-03-22 05:50:00,weather-pro-1,-5,81,13,0
2022-03-22 05:55:00,weather-pro-1,-5,80,11,0
2022-03-22 06:00:00,weather-pro-1,-5,80,10,0
2022-03-22 06:05:00,weather-pro-1,-5,76,11,0
2022-03-22 06:10:00,weather-pro-1,-4,78,11,0
2022-03-22 06:15:00,weather-pro-1,-4,76,12,0
2022-03-22 06:20:00,weather-pro-1,-4,74,13,0
2022-03-22 06:25:00,weather-pro-1,-3,72,9,0
2022-03-22 06:30:00,weather-pro-1,-3,71,11,0
2022-03-22 06:35:00,weather-pro-1,-3,72,11,0
2022-03-22 06:40:00,weather-pro-1,-3,70,11,0
2022-03-22 06:45:00,weather-pro-1,-3,70,11,0
2022-03-22 06:50:00,weather-pro-1,-3,70,11,0
2022-03-22 06:55:00,weather-pro-1,-3,70,10,0
2022-03-22 07:00:00,weather-pro-1,-3,70,10,0
2022-03-22 07:05:00,weather-pro-1,-3,68,11,0
2022-03-22 07:10:00,weather-pro-1,-2,65,12,0
2022-03-22 07:15:00,weather-pro-1,-2,62,13,1
2022-03-22 07:20:00,weather-pro-1,-1,61,13,1
2022-03-22 07:25:00,weather-pro-1,-1,61,13,1
2022-03-22 07:30:00,weather-pro-1,-1,60,12,1
2022-03-22 07:35:00,weather-pro-1,-1,60,13,1
2022-03-22 07:40:00,weather-pro-1,-1,60,14,1
2022-03-22 07:45:00,weather-pro-1,-1,60,14,1
2022-03-22 07:50:00,weather-pro-1,-1,61,13,1
2022-03-22 07:55:00,weather-pro-1,-1,60,13,1
2022-03-22 08:00:00,weather-pro-1,-1,60,10,1
2022-03-22 08:05:00,weather-pro-1,-1,55,12,1
2022-03-22 08:10:00,weather-pro-1,0,54,13,1
2022-03-22 08:15:00,weather-pro-1,1,53,14,1
2022-03-22 08:20:00,weather-pro-1,1,52,15,2
2022-03-22 08:25:00,weather-pro-1,2,50,15,2
2022-03-22 08:30:00,weather-pro-1,3,48,13,2
2022-03-22 08:35:00,weather-pro-1,3,47,15,2
2022-03-22 08:40:00,weather-pro-1,3,47,16,2
2022-03-22 08:45:00,weather-pro-1,3,47,16,2
2022-03-22 08:50:00,weather-pro-1,3,47,15,2
2022-03-22 08:55:00,weather-pro-1,3,46,15,2
2022-03-22 09:00:00,weather-pro-1,3,45,15,2
2022-03-22 09:05:00,weather-pro-1,5,45,17,2
2022-03-22 09:10:00,weather-pro-1,5,42,19,1
2022-03-22 09:15:00,weather-pro-1,5,41,19,1
2022-03-22 09:20:00,weather-pro-1,6,41,20,1
2022-03-22 09:25:00,weather-pro-1,6,41,20,1
2022-03-22 09:30:00,weather-pro-1,6,42,20,1
2022-03-22 09:35:00,weather-pro-1,6,41,20,1
2022-03-22 09:40:00,weather-pro-1,6,40,21,1
2022-03-22 09:45:00,weather-pro-1,6,40,21,1
2022-03-22 09:50:00,weather-pro-1,6,40,21,1
2022-03-22 09:55:00,weather-pro-1,6,40,21,1
2022-03-22 10:00:00,weather-pro-1,6,40,20,1
2022-03-22 10:05:00,weather-pro-1,6,41,20,2
2022-03-22 10:10:00,weather-pro-1,6,41,22,2
2022-03-22 10:15:00,weather-pro-1,6,41,22,2
2022-03-22 10:20:00,weather-pro-1,7,40,24,2
2022-03-22 10:25:00,weather-pro-1,7,40,25,2
2022-03-22 10:30:00,weather-pro-1,7,40,24,2
2022-03-22 10:35:00,weather-pro-1,7,40,24,2
2022-03-22 10:40:00,weather-pro-1,7,40,24,2
2022-03-22 10:45:00,weather-pro-1,7,40,24,2
2022-03-22 10:50:00,weather-pro-1,7,39,24,2
2022-03-22 10:55:00,weather-pro-1,8,39,24,2
2022-03-22 11:00:00,weather-pro-1,8,38,24,2
2022-03-22 11:05:00,weather-pro-1,9,37,22,2
2022-03-22 11:10:00,weather-pro-1,9,36,22,2
2022-03-22 11:15:00,weather-pro-1,9,38,26,2
2022-03-22 11:20:00,weather-pro-1,10,38,26,2
2022-03-22 11:25:00,weather-pro-1,10,39,26,2
2022-03-22 11:30:00,weather-pro-1,9,36,25,2
2022-03-22 11:35:00,weather-pro-1,9,39,26,2
2022-03-22 11:40:00,weather-pro-1,9,39,26,2
2022-03-22 11:45:00,weather-pro-1,9,38,26,2
2022-03-22 11:50:00,weather-pro-1,10,38,27,2
2022-03-22 11:55:00,weather-pro-1,10,38,27,2
2022-03-22 12:00:00,weather-pro-1,10,35,27,3
2022-03-22 12:05:00,weather-pro-1,10,35,27,3
2022-03-22 12:10:00,weather-pro-1,10,35,28,4
2022-03-22 12:15:00,weather-pro-1,10,36,29,4
2022-03-22 12:20:00,weather-pro-1,10,36,30,4
2022-03-22 12:25:00,weather-pro-1,11,36,30,4
2022-03-22 12:30:00,weather-pro-1,10,36,31,5
2022-03-22 12:35:00,weather-pro-1,10,35,30,5
2022-03-22 12:40:00,weather-pro-1,10,37,30,5
2022-03-22 12:45:00,weather-pro-1,10,37,32,5
2022-03-22 12:50:00,weather-pro-1,10,37,32,5
2022-03-22 12:55:00,weather-pro-1,10,36,32,5
2022-03-22 13:00:00,weather-pro-1,10,35,29,5
2022-03-22 13:05:00,weather-pro-1,10,35,30,5
2022-03-22 13:10:00,weather-pro-1,11,35,31,5
2022-03-22 13:15:00,weather-pro-1,11,36,32,5
2022-03-22 13:20:00,weather-pro-1,11,36,32,5
2022-03-22 13:25:00,weather-pro-1,11,34,31,5
2022-03-22 13:30:00,weather-pro-1,11,34,31,5
2022-03-22 13:35:00,weather-pro-1,11,35,32,5
2022-03-22 13:40:00,weather-pro-1,11,36,32,5
2022-03-22 13:45:00,weather-pro-1,11,34,32,5
2022-03-22 13:50:00,weather-pro-1,11,35,32,5
2022-03-22 13:55:00,weather-pro-1,11,36,32,5
2022-03-22 14:00:00,weather-pro-1,11,35,29,4
2022-03-22 14:05:00,weather-pro-1,11,35,28,4
2022-03-22 14:10:00,weather-pro-1,11,35,27,4
2022-03-22 14:15:00,weather-pro-1,11,34,24,4
2022-03-22 14:20:00,weather-pro-1,11,35,22,4
2022-03-22 14:25:00,weather-pro-1,11,34,22,4
2022-03-22 14:30:00,weather-pro-1,11,34,20,4
2022-03-22 14:35:00,weather-pro-1,11,35,20,4
2022-03-22 14:40:00,weather-pro-1,11,33,20,4
2022-03-22 14:45:00,weather-pro-1,11,34,20,4
2022-03-22 14:50:00,weather-pro-1,10,33,20,4
2022-03-22 14:55:00,weather-pro-1,10,34,20,4
2022-03-22 15:00:00,weather-pro-1,10,32,22,3
2022-03-22 15:05:00,weather-pro-1,10,33,25,3
2022-03-22 15:10:00,weather-pro-1,10,34,26,3
2022-03-22 15:15:00,weather-pro-1,10,35,26,3
2022-03-22 15:20:00,weather-pro-1,10,35,27,3
